rate,text
5,"Webroot is one of the best anti-virus/firewall, etc... on the market. It has tremendous done work for me in finding numerous threats and taking care of them right away. I would recommend it the highest level because it does a great job.<br /><br />Thanks"
1,"Review of Smith Micro's Poser Pro Well, at this juncture I've been working almost daily with this product, and thought it was high time I shared some of my impressions with other prospective customers/victims. First of all, as a long-time software professional, I am quite aware of the complexities associated with 3D rendering, and the high demand on processing resources -- both memory and CPU. Even though I'm running a fairly capable machine (quad-core, 64-bit, 8Gig of ram, 2 - 1-terrabyte drives, Win XP-64, etc.), I am prepared to accept that complex 3D scene rendering will take some time. That said, what I DO NOT accept is the necessity for the program to outright refuse to render, or even LOAD some scenes, reporting \\""not enough memory to load texture map'! In software engineering terminology, this just indicates sloppy memory management. Even after researching the issues, tweaking the render settings, running a 3rd-party memory management utility -- the problem persists. Perhaps even harder to excuse is the generally brittle nature of the package. It regularly becomes necessary to resort to ctl-alt-del, bring up the program manager, find the process, and use the \\""kill process tree\\"" command to get rid of the hung application, and then start the whole process over from the start, often losing work in the process. Then, of course, there are the incessant \\""An unexpected exception occurred: -50\\"" messages. Once again, ctrl-alt-del, etc., is the only way to proceed. Don't even bother looking in the event manager, or searching for a log that might explain the source of the problem. The Poser \\""engineers\\"" apparently considered such niceties as superfluous. Interestingly, it's often possible (and necessary) to load a scene that Poser Pro refuses to accept by using Poser 7! I can then eliminate some elements, save the file, and reload back into Poser Pro. Did someone decide it was necessary to introduce some additional bugs into the flagship package.? Ialso have a strong suspicion that the program suffers from some severe memory leaks. If you monitor memory usage, you'll see that, regardless of the nature of the scene, memory usage just keeps on increasing, until, inevitably -- that's right: ctrl-alt-del. The thing that amazes me most, is the proliferation of gushing reviews of this shoddy piece of . . . programming. Are the reviewers on Smith Micro's payroll? Have they done any more with it than render a quick naked woman, gawk over it, and then write: \\""WOW, what a GREAT product!\\""? There are, of course, so many other annoying quirks as to defy enumeration here. Suffice it to say, that this is an extremely irritating program with which to work. Smith Micro touts this as a \\""professional package,\\"" an utterly absurd assertion. It's quality is such that I might overlook the bugs in a freeware package, but certainly not in something costing nearly five-hundred bucks. Oh well, there's a sucker born every minute. Now, as someone who has watched my own company's profits eroded by software piracy, I am generally opposed to such abuses, however, in cases like this, my advice is to acquire the product from someplace like Emule, or Vuse, or other torrent servers, use it for a while, and if you still think it's worth the asking price, then by all means, write that check. Otherwise, just use it at a cost that's precisely what it's worth: $0."
5,The Expositors Bible Commentary 5.0 software is easy to use and contains exceptional detail of Bible book introductions. The overviews that I have examined so far are full of usaable background material. The individual comments have been helpful. The whole package is to be commended for general use re Bible knowledge and is of use for teaching purposes/
3,"Works ok on Mac. As other reviewers have stated elsewhere the windows version works smoother and this version is not as robust as the one it replaces. That being said it does what it is supposed to but.... the days of the Microsoft Office being a needed program are fading fast. With open office and the word processor already on Mac (pages) along with open office and of course google docs I can see the day when they will hardly be able to give Microsoft Office away. Pages does the just about the same thing cheaper and Pages is the one I use most,"
5,"I've been looking for a product like this all my working life. I started with OneNote 2003 and upgraded to 2007 as soon as it was available. I use it daily for everything from my To-Do list, to a daily journal for work and personal. It is handy to store the multitude of projects, notes, operating instructions, help desk notes, network notes, passwords, etc. I will never understand why Microsoft doesn't just include this with every Office package. It is like a best-kept secret. Hard to sell my office mates and bosses on this product when it costs extra to buy to add on to most Office packages. Come on Microsoft, this product is not only for students. Just about everyone in business could use this and it would be a wonderful product for collabrative notes in most businesses!"
5,"For me this product is much better than the new Microsoft programs. Windows 8 does makes it a little difficult to use in that it takes a few extra steps to save, but well worth the extra effort."
3,"Received with ScanSnap S1500. Goods: 1. Relatively easy to use and organize without having to use windows file system. Good for the non-computer geek who just wants to get rid of the paper but have a things organized in binders and folders. Others: 1. To attempt to minimize software piracy (I don't blame them) there is a relatively complex installation which failed in my case on several attempts. Support helped me get around this problem within a few days and were very helpful and responsive. But, if I ever need to reinstall or move to another computer (if you are scanning your life aren't you going to take it with you to the next computer?) I can expect it to be difficult. 2. The main problem with this program is the proprietary database. The file and folder naming structure in windows is not representative of what you called the files and folders in the program when you scanned them (unlike the default program that comes with the scanner). This mean that you need to use the program to find the files and if you ever no longer have this program or access to it (see number 1 above or if you are using Windows 10 ten years from now and this program is no longer supportable), all your scanning work will be for naught and you will have a bunch of folders and files with gobledegook for names. Good luck finding that birth certificate then!"
5,Great product. My children and I use this to brush up on our typing skills. I would recommend this product.
3,"BEWARE of Tech support from INDIA they will ask you a fee of 200.00 but then when you say<br />He** no they will reduce it to 99.00, They are scammers the INDIA TECHNICIANS ARE"
4,Great for little ones but doesn't run on Windows 7. Be reminded that some of these older titles don't work with the new operating systems! Otherwise it is such a cute game. I am sure they will come out with updates.
4,"I've used Nuance Paperport pro V12 and the bundled PDF program for a while on an older XP computer (soon to be retired).<br /><br />Power PDF is a significant step up that adds form creation, OCR features, conversion to/from PDF from lots of document formats, and adds a version of Dragon for adding notes to PDF's. It is at it's heart a PDF converter.<br /><br />Installation was completely uneventful. The registration/activation is a bit annoying but it seems the sort of the way the software world is headed. This hasn't always been the case for Nuance products. Paperport in particular was known for installation problems.<br /><br />Like most Nuance products I've used this has a quirkyness to its interface. If you have used other Nuance programs you'll know what I mean. If not you'll either get used to it or become frustrated. I think most people adapt without much trouble.<br /><br />In general I've used the PDF conversion features and some basic form creation so far. I've played a little with the dragon notes and it seems to work pretty well with my voice.<br /><br />The results seem to open on fine on Acrobat Reader XI and Acrobat Pro X..<br /><br />Power PDF installed and worked well. It has a broad set of features. The interface is Nuance &#34;quirky&#34; and the registration/activation is a bit annoying. So I'm giving 4 stars to Power PDF.<br /><br />Hope this helps someone."
3,"I wanted something basic and simple just to use for balancing my checkbook. I didn't want all the online banking stuff.<br />Once I figured out how to bypass all the online features the program is ok. I wish it had an option that it would show you upcoming bills in my startup menu whenever I turn on my desktop. I got spoiled with Microsoft money, wish they still made that software. They could have made this program a bit simpler, but it'll do."
1,"I admit it, I got excited for the new version and upgraded. Nearly all the marketing features hyped above are not ready for prime time. Budgeting is a big fail. I'm going to revert to an excel spreadsheet and manually transfer the values. The numbers are off and there is an odd way of handling categories and future transactions.<br /><br />Mobile sync crashes around 50% of the time and takes roughly 5 minutes to complete, while the software is locked and unusable. I hit sync and walk away. Using the iOS interface took some getting used to, and I may use it \\""on the fly\\"" but it's not as nimble as the Pocket Quicken app in the days of Palm (yes, I'm that old and have been using Quicken that long!)<br /><br />I could go on, but the other reviews hit the high points. I came from 2011 and wish that I could go back, but I've put too much new info in the data file, so I'm stuck.<br /><br />If I could do it all over again, I'd wait to upgrade until users report all the kinks are worked out (if ever). Just head over to the forums and see what people are posting. I wish I did before I purchased. As of today (10/8/12) I have taken a step backward from usage. Thank god for Excel to fill in the holes while other people that purchased this too early \\""beta test\\"" for Intuit.<br /><br />---------------------------------------<br />EDIT 11/15/12: I just downloaded the seventh (R7) update and it completely corrupted my data. Mind you, I had to add a \\""balancer\\"" transaction to a few of my accounts with the upgrade to 2013. Amounts were off, but I couldn't figure out where or why.<br /><br />With R7, I had to restore from a backup (thank God I backup). If I could downgrade this review to zero stars I would. I no longer attempt to use the budgeting feature, we use excel and manually patch the data back into Quicken. I have mobile completely disabled (it added corrupt data). I bought a book to understand some of the \\""new features,\\"" if only to find a workaround.<br /><br />If I could go back to my previous version or if there was a reasonable competitor I would abandon this product immediately.<br /><br />--------------<br />EDIT 3/2/2013<br />--------------<br /><br />We're on R11 (patch 11) now. I'm happy to report that I haven't had any data corruptions recently--for a couple of months. The mobile/iOS experience is still not working. Now every time I try to use it recently I get a \\""Data Error\\"" and it boots me completely out. That is to say it requires that I go back an re-enter my UN and PW as opposed to simply the iOS program PIN. Then it simply gives the same error and requires a sign out. I may delete the account and create a new one, again, to see if that fixes it as it has in the past. As you can gather from my review above and other users, it hasn't been sufficiently reliable for me to consistently use it, so I can't say it's a huge loss for me. However, if you view it as a big selling point, don't purchase this software for this feature.<br /><br />There are many bugs that are still not worked out (again, venture over to Quicken's support forum). My view on the software is still the same. This is not an adequately vetted program and is still not ready for public release. If you MUST upgrade for some reason, such as banking compatibility, it's tolerable--at least you won't lose data (well, maybe). I still backup frequently. The only reason I'd say that's a remotely acceptable option is because there are no real competitors here. My rating stands at 1 of 5 stars."
5,Perfect for my home office needs and easy to install with the key card!
1,"Form Setup does not work in Peachtree Complete Accounting 7.0. Peachtree makes it easy to choose the data you would like to appear on your forms, however, under many criteria categories either no data or incorrect data is pulled. I chose &quot;description for sales&quot; and it worked for a while but then started drawing from &quot;description for purchases&quot; (tech support was able to duplicate this). When I asked for &quot;short description&quot; I got &quot;description for purchases&quot;, &quot;description for sales&quot;, &quot;short description&quot;, or nothing at all depending on the form I was printing. Peachtree told me it is a design problem that was present in 6.0 and will be present in the next version, 8.0. Bernard from tech support told me that the following version may work properly but that he was &quot;not at liberty to discuss&quot; when that might be. I am returning my software because Peachtree seems in no hurry to fix design problems."
1,"It works but is so limiting it is annoying. You can not reconcile, write checks etc. This was possible with version 3 for DOS now no more.<br />If you are a long time Mac user you wonder why there is NOT one good product out there for financial management and check writing."
5,The product is fine. I already had McAffee protection on my old computers so this was not a big decision.
2,"Got Windows 7, so bought this version BUT all my years of work on Print Shop Deluxe 2.0 on my Windows XP are for nothing...you cant import old files. What a disappointing program. Does anyone out there know how to contact Broderbund to complain. They have no customer relations site!!"
5,"This is a powerful and fun program to get you catapulted into the animation video field. Lots of bells and whistles and a variety of character elements to choose from. Still, I feel it requires a long, difficult learning curve to get into fine-tuning the effects, but the results are excellent. With the built in figures and adjustable movements, you can quickly learn to post your first animated cartoon. I have tried this with videos posted to YouTube. The only drawback is that it does take some time to handle the many movements and timelines. Well designed and engineered - now I have to practice, practice, practice. Good price; good product."
1,Waste of money if you have 529 plan. This software can not handle 1098-T and 1099-Q forms.
3,"Hi! I loaded this product and when attempting to load state the software asked for an ADDITIONAL $34.95. When I contacted TurboTax on-line they first told me it was not yet available, then said \\""All 2006 and 2007 TurboTax Federal Packages include state.\\"" We will see. I have a sneaking suspicion I've been had."
5,"As an editor for a children's book publishing company, I wondered if mastering the keyboard would encourage my nine-year-old daughter to write. She absolutely loved the program, and knowing where to find the letters on the keyboard has made such a difference. Now she begs for computer time so she can type her own original stories and poems! Imagine a third grader enjoying creative writing instead of silly computer games! I'm sure this will give her an advantage in the upper grades when she has to type assignments and reports. Highly recommended."
5,"5 installs for cheap. Can't beat this. No downloads necessary. After using the rest, this takes 1-2 minutes without downloading anything."
2,Does not let me print out any types of business cards or photo projects only will allow with regular papers whats the point???
5,"It re-partitioned my C drive with no problems when it was almost full with a bad sector or block on the drive. I also had drive I was having difficulty formating but director 10.0 did the job, a must have utility program. There is a learning curve with this program if you want to get into all its aspects but its not very steep."
1,"I installed this today and after a few hours, tons of searching for a solution online, and plenty of messing with my computer settings, I am throwing the towel in. I continually get an error message that the &#34;Sound Level is Too Low&#34; and I cannot even get past the profile setup wizard due to this error. The headphones included with the software are either junk, or the software itself has an error with Windows 7. A user forum I was reading mentioned that if you call Nuance with this problem they will spend plenty of time making sure you checked all the obvious solutions, then they apologize and tell you they have a software glitch they are working on. I haven't subjected myself to this process, and I don't plan on it, either. No product should require this much work just to get it to function adequately.<br /><br />Well, a glitch working with Windows 7 is a big deal. I am computer savvy, I can build a PC from parts, I can install software, I can change system settings in Control Panel, and I can troubleshoot simple problems better than most computer users. I checked every single listed solution I was able to try, and I simply cannot get this software to run properly. If this is a known bug, as it seems to be, then this product should not be sold as compliant with Windows 7. I am returning this, there is no way I plan on spending even more time and effort getting this to work. I checked the microphone function with the Windows Sound Recorder, and while it is a bit low, it records just fine. So, either the issue is the included headset (hopefully Nuance is not hair-brained enough to send out a faulty headset that will make their software look like garbage) -or- the problem is that their software is buggy and doesn't run properly on my new, clean, non-buggy computer."
5,"This anti virus it is a good choice to protect your computer, quick , light , is an excellent product to a nice price. The Seller was efficient"
5,"although I was expecting a disk, when I received a swipe card to download I was just a little bit annoyed. However I downloaded the card. Once I was able to resolve the issue of find where the code was to be placed, it was all downhill from there. Yes, I recommend, but only if you have patience."
5,I buy this every year to do my taxes. Makes doing taxes easy and takes you right through everything. I would recommend this product.
5,"I loved this product. It's a paint/photo program, not a drawing program. Adobe Photoshop (AP) is a paint/photo program; Adobe Illustrator (AI) is a drawing program. AP creates bitmap files, and AI create vector files. Bitmap files are images made up of little dots. Whereas vector files are mathematical formulas that are easily scaleable. The native files for Sketchbook are stored in layered TIF format, but they can be exported in many different bitmap file formats: gif, jpeg, and PSD.<br /><br />I have used quite a number of different kinds of computer applications over the years: wordprocessing, spreadsheet, presentations, database, email, WYSIWYG Web page designers, paint/photo, and drawing. Of all these different types of computer programs I have had the most difficulty learning to use well the paint/photo kind. This is probably because I am not really an artist - at least not one adept at creating visual pictures using my hands. I am much better at taking photos with a digital camera and tweeking them using Adobe Photoshop. I have always found AP to be a tough cookie when it comes to creating original artwork from scratch.<br /><br />Sketchbook Pro makes it much easier for me to create original artwork from scratch. It is designed to be used with a digital pen tablet. The intuitive user interface is slick and pleasing to eye, and you will be up and running in no time using pencils, brushes, layering, and pan/zoom features. This product is going to make it easy for you to \\""sketch\\"" out a rough draft of the artwork you want to create. It will not create a masterpiece probably, but you can certainly move your file into AP and tweek your art to your heart's content.<br /><br />This product was easy for me to install, and it has never appeared sluggish to me when using it. I suppose the only problem I had with the product is its name. I think of the word \\""sketch\\"" as being a drawing. Thus at first I thought this was a drawing program. So don't be confused by the name. What you will get with this product is an easy to use somewhat powerful paint/photo program that will help turn you into a pretty good digital artist if you are not already one. And if you are already expert I suspect you will thoroughly enjoy this product to create the early-goings of a paint file you will fine tune in AP. 5 stars!this product is an easy to use somewhat powerful paint/photo program that will help turn you into a pretty good digital artist if you are not already one. And if you are already expert I suspect you will thoroughly enjoy this product to create the early-goings of a paint file you will fine tune in AP. 5 stars!"
4,"Lots and Lots of activities.Very Fun for all ages.<br />I Got for my boys, 13 yrs and 7 yrs old.They really enjoy it."
5,"Using the Macbook 15in. with Parallels 8. It works so well that when I am developing on the Windows 8 side using Visual Studio 12, there is no difference at all between running native vs as a virtual machine. I can switch back and forth between OSX and Windows 8 fluidly. I even use things like Snagit on the Mac and use that to do videos and screen shots of the windows side. Wonderful integration."
1,"Retrospect is a terrible software application for the ordinary Mac or Windows user. Both versions are complex and difficult to use, and the interfaces are extremely unintuitive. To make matters worse, EMC will want to charge you $69 if you need help with this indecipherable mess. I only hope that the Time Machine backup feature that debuts with Mac's Leopard version of OS X will finally put this product out of business."
4,"Mac OS 10.1, the long-awaited gift from Apple, is impressively stable. The stability of this OS gives it an edge over the older build of Mac OS 9 (and older systems). Dynamic memory allocation and preemptive multitasking are positive aspects too.<br />However, I would not suggest OS X on a G3 unless you are ready for slow resizing and tediously long launch times.<br />Indeed, even though it is slower, I feel that I am obliged to use OS X on my 600 MHz iBook - not because Apple is phasing out &quot;classic&quot; support. The only thing that truly binds me to OS X is that it is much more stable than OS 9. However, seeing how good things are coming with the new ideas from Apple as they update the system, I would suggest keeping an eye open. Perhaps OS X will speed up soon."
5,"Very reliable, a lot of features and very easy to use.<BR>Don't listen to the naysayers...read the professonal and specialized reviews instead...<br />[...]"
1,"I am very unsatisfied with this program. I have many mp3 files, some a couple hours in length.This program only reconizes about fifty percent of them. This program is going in the garbage."
5,Great product will be used in my class
5,"The item that I purchased was in excellent condition, and the sell did a great job as far as sending it to me on time. I am very happy with my purchase form her, and give her a thumbs up, you did a great job. The item was what I expected, and in new like condition, I would buy this way again."
1,"We have several copies of this installed in our office. There are about 12 licenses installed on various machines. Over time, as machines break down and get replaced you lose a license for each one. You could deactivate the license to free it up, but this is impossible if the machine won't boot or you take it apart before remembering to deactivate. To make matters worse, we have no idea which keys are install on which machines. I guess Abode expects you to track this, but I can't figure out how to retrieve the installed keys. This is a business, I don't know what the guy before me did. So, now we get to call Adobe everytime we need to use one of our licenses and they do not have the greatest support team. This has cost us plenty in productivity and the product isn't cheap to begin with. If you can avoid using this product I would recommend doing so."
5,"I was very reluctant to buy this. It didn't even look legitimate at first, but rest assured, it's all good. I even had to contact Microsoft support for a small glitch and they remotely controlled my pc and fixed the issue - for free. Windows 8, and since I've updated to 8.1, is far superior to Vista. I have Windows 7 on another computer and really like it too, but Windows 8 is so much more stable and fast compared to Vista it's not funny. Just be aware that you will need to re-install many if not all programs after the upgrade. There is a free Windows 8 &#34;are you ready for Windows 8&#34; download you can get for free before you buy. Best software purchase I've made in years."
5,I really love this anti virus protection.....I never had a problem with it and it protects just as good if not better than norton.....but this doesnt slow ur computer down like norton and i ownly got a bad virus once cuz any anti virus isnt going to protect ur computer from all.....but still this one is great i recommend it!
4,works great
2,"The box came with absolutely no directions which is frustrating. I had to google directions and even then they did not make sense. I could not figure out which computer to put the disc into and how to run it as a DVD. It was not made clear that I needed a firewire. There are lots of options and no concrete explanations. Finally, my files were recovered in text edit form and code. In total I spent almost $150 for the software and cord for my files to be in a form that I did not create it in. I now have to spend extra time and money to recover the files to their original form. However, I spent $40 for my mac at a computer store that recovered everything in the original form and even in the folders I had originally placed them in."
5,This is a great product I am very happy with it. It works great on my computer never had a problem with it at all. :0)
2,"I was very disappointed when I tried to reinstall my software into my new computer, my installation code said it was invalid. My copy is authentic and purchased at Costco. Intuit wont help unless I purchase their support plan. Intuit should at least help with this as it also helps them control piracy. Microsoft has no problem with this and either does any other software mfg I have ever seen. I think Intuit needs to get off their high horse and learn how to treat their customers. Any business with attitude toward their customers is replaceable in my opinion. I won't forget..."
4,This is a great software for my digital camera. If I take a not so great pic I can go to the photo enhancer and enhance it to a better pic. I have never used any other photo software so I have nothing to compare it to but I think it is great.
5,"The nero 2015 premium is excellent software. Requierment of sistem is high, but the perfomance is very very well.<br />I recomend."
3,"I bought this software for myself (learning keyboard) but I also have children. The software focuses on learning how to read music and also locating the notes on the keyboard. It would be helpful for children/adults playing any instrument. Most of the lessons are based on learning the notes on the scale, counting beats, etc. Cons: The doodle pad composer does not save on my computer (I have vista) so when my son makes his \\""masterpieces\\"" I can not save them to listen to later. Also the graphics are very dated. There doesn't seem to be any competition for this type of software so I guess that is why it hasn't been updated. Overall I think this is a good game and slightly overpriced ( I paid 45 on here but feel 30 would have been a better price since the game is older) I have finished all of the lessons but go back and do the games to improve my speed with identifying notes on the scale and the keyboard."
5,"I don't believe this is for sale anymore on Amazon (although you can buy from DietPower directly) however I first discovered this software by looking on Amazon. I'm so happy I did! I started a \\""diet\\"" a month before I discovered this and was putting in a lot of exercise and moderately watching what I ate but not getting great results. I had lost a couple pounds but nothing near where I should have been for as much hard work as I was putting into exercise and strength training. I went to the DietPower website and downloaded a two week trial version for free. In those two weeks I lost five pounds simply because I had visibility to the calories I was taking in and what I was burning off through exercise. The software itself is rather complex but it is very simple to use. Logging foods and exercise is very easy and quick. It even helps you track your water intake based on demands from food and exercise. It helps track the nutrition in what you are eating so you have visibility to how much vitamins you intake and where you might be lacking throughout the day. This is great software. I would highly encourage anyone, even those maintaining weight, to go grab a trial version of this and try it out. This software has shown me that I can eat well and still achieve results."
4,"There are few differences between Office 2010 and Office 365. I suppose the services offered are ok for those who will use them but for my purposes, Office 2010 would be my choice."
2,"I purchased this because I liked the idea of having an encyclopedia set without taking up the space. When I recieved the software I did a full install, got to the screen offering the trial for Britanica Online and felt dooped. The software is extremely basic, for further information they want you to purchase the online access. This may be good software for elementary kids research for school, or general information browsing but definitely not for info junkies. The navigation of info and articles is strange, the atlas is very basic maps, the search function and results are cluttered and frustrating. There are very few user preferences that you can change. Overall I don't feel it was worth the $22 I paid for it. I would maybe purchase as a gift for someone without internet access, other than that I would pass. Would happily build shelves for a whole set instead."
5,Windows XP is definitley the best and most advanced of any operating system for a personal computer. It's programs are amazing. If one has a PC the only operating system they should even think about getting is XP. XP is the standard. Everything runs on XP. This is the best technology yet and I love Windows XP
1,"Norton doesn't work and you will be expected to pay $99 to get Customer Support when the program fails. I am very computer literate and relied on Norton to protect my computer from viruses and malware. I am quite competent at avoiding threats, but there are some that even the most experienced user can't prevent. Their program did not catch an old \\""virus\\"" (technically malware) that has been out for a long time, so it wasn't an unavoidable problem.<br /><br />When I contacted customer support for help removing the program Norton didn't catch, they tried to charge me $99 to correct their mistake before they would even discuss the problem (either do it yourself or pay $99). I spent over 4 hours working with inexperienced techs that did not have adequate computer knowledge trying to get the problem fixed. The \\""Customer Service\\"" agent deleted at least one unrelated program from my computer (was not infected) that I will have to pay to replace. I will now have to spend my time trying to figure out how to totally remove the malware from my computer as it seems to be in the registry and affecting my computer after Norton's software claimed it was quarantined (it took 4 hours and 3 techs to even get that far on top of the multiple scans I had run). I will likely have to pay someone to work on my computer to ensure that my computer is safe and pay for new antivirus software. My computer is nearly unusable.<br /><br />Bottom line, Windows 7 has great antivirus software built in (you do have to find it and turn it on) or you can use a number of free options that work as well or better than Norton. It has been years since I've tried Mcafee so I can't comment on it's effectiveness. Do not depend on Norton even if you are computer literate. If you aren't knowledgeable about the latest threats or if other family members that aren't use it, you DEFINITELY don't want to rely on Norton."
2,"Very dissapointed in TurboTax this year. Have used TT for 20 years or so, but next year will likely switch to a competitor. Things taken out of Deluxe and not told until after bought it. Felt like was &#34;bait and switched&#34;. Offered $25, but having to get Premiere cost me $30. Costs for personal plus a LLC business are now approaching $150 per year - way to much. Used to be reasonable for TT to do taxes. Too bad..."
5,This the 2nd year I have had Kasperky on my compurter it is easy to work with and works great
2,It has not been the facility that I had hoped it doesn't do what I expected in comparison to the Microsoft word that I used in the past
5,"Going back to school after 23 years was really terrifying. I had never heard of APA guidlines and format. When I looked at the APA guide book provided by the college, I had a full blown panic attack. First ever! APA just did not make since. PERRLA was recommended by three coworkers who had receintly graduated from college. PERRLA is amazing. I have completed my first semester without even one APA error. It makes paper writing a breeze. Step by step instruction for every paper. PERRLA saves all citations so previously used sources do not have to be re-cited. Saves hours of time for each paper. I had one technical difficulty (My own error). I emailed PERRLA support and recieved a reply with step by step instruction the same afternoon AND on a WEEKEND! The support response was easy to understand and solved my problem instantly. It was written as if the person was speaking directly to me. Contact numbers were provided as well. PERRLA has taken the stress out of paper writing. Love it! Old Dog With New Tricks! Candy Rutledge RN"
1,We had this game before and it worked just fine until the disk got damaged. We ordered this replacement and it wouldn't even install right. Contacted the company and they were useless. Managed to get it installed and then tried to start the game and we get a blank error message every time - how do you fix that??? VERY frustrating. What a waste of money! We were unable to return it because we live overseas. We have had similar trouble with other Carmen Sandiego games. Never again.
3,"This works as well as a Microsoft product can,which means it's clumsy to use. Unfortunately most of the world uses this crap."
5,"Funny how the bad reviews are all about not being able to play a 19 year old game on mostly current machines. For those of you who still have the disk, YES, you can still play it in Windows 7, 64-bit. The game is awesome, someone else wrote a major review of it, read his summary for all the details. This is a very enjoyable game, as is its sequel Starsiege."
5,"Used Turbo Tax in the past, Got too expensive and this is easier for me to use"
5,Let me start by saying I am 24 years old and still love this game. I was happy to see that not a whole lot has changed since the 1998 version and that what is different is neat.This big kid loves it!
5,"I got this program for free with my Visor Edge, and although it was a great freebie the Edge already came with a datebook the was equally as good as this one. Still for the time I had it, it worked great and didn't give me any problems while transfering my addresses and other pieces of data from my computer to my handheld. So I recomend this to someone who has an old PDA that doesn't have a great datebook."
5,Great tool for someone who is visually impaired. What a great idea for me to get for myself. I love it
